년월일,시,가로명,링크명,속도
2024-04-10,00,달구벌대로,달구벌대로_구간,44.5
2024-04-10,01,달구벌대로,달구벌대로_구간,41.1
2024-04-10,02,달구벌대로,달구벌대로_구간,43.4
2024-04-10,03,달구벌대로,달구벌대로_구간,42.7
2024-04-10,04,달구벌대로,달구벌대로_구간,36.5
2024-04-10,05,달구벌대로,달구벌대로_구간,35.7
2024-04-10,06,달구벌대로,달구벌대로_구간,34.2
2024-04-10,07,달구벌대로,달구벌대로_구간,23.4
2024-04-10,08,달구벌대로,달구벌대로_구간,18.0
2024-04-10,09,달구벌대로,달구벌대로_구간,24.5
2024-04-10,10,달구벌대로,달구벌대로_구간,31.6
2024-04-10,11,달구벌대로,달구벌대로_구간,33.4
2024-04-10,12,달구벌대로,달구벌대로_구간,29.1
2024-04-10,13,달구벌대로,달구벌대로_구간,33.0
2024-04-10,14,달구벌대로,달구벌대로_구간,32.8
2024-04-10,15,달구벌대로,달구벌대로_구간,28.5
2024-04-10,16,달구벌대로,달구벌대로_구간,26.7
2024-04-10,17,달구벌대로,달구벌대로_구간,16.3
2024-04-10,18,달구벌대로,달구벌대로_구간,22.6
2024-04-10,19,달구벌대로,달구벌대로_구간,27.9
2024-04-10,20,달구벌대로,달구벌대로_구간,33.7
2024-04-10,21,달구벌대로,달구벌대로_구간,36.8
2024-04-10,22,달구벌대로,달구벌대로_구간,43.2
2024-04-10,23,달구벌대로,달구벌대로_구간,42.7
2024-04-10,00,비슬로,비슬로_구간,47.2
2024-04-10,01,비슬로,비슬로_구간,46.4
2024-04-10,02,비슬로,비슬로_구간,47.0
2024-04-10,03,비슬로,비슬로_구간,45.7
2024-04-10,04,비슬로,비슬로_구간,44.7
2024-04-10,05,비슬로,비슬로_구간,42.8
2024-04-10,06,비슬로,비슬로_구간,41.9
2024-04-10,07,비슬로,비슬로_구간,27.3
2024-04-10,08,비슬로,비슬로_구간,21.1
2024-04-10,09,비슬로,비슬로_구간,28.5
2024-04-10,10,비슬로,비슬로_구간,35.1
2024-04-10,11,비슬로,비슬로_구간,38.0
2024-04-10,12,비슬로,비슬로_구간,32.8
2024-04-10,13,비슬로,비슬로_구간,33.5
2024-04-10,14,비슬로,비슬로_구간,34.5
2024-04-10,15,비슬로,비슬로_구간,35.2
2024-04-10,16,비슬로,비슬로_구간,31.3
2024-04-10,17,비슬로,비슬로_구간,23.0
2024-04-10,18,비슬로,비슬로_구간,23.8
2024-04-10,19,비슬로,비슬로_구간,32.4
2024-04-10,20,비슬로,비슬로_구간,38.2
2024-04-10,21,비슬로,비슬로_구간,42.4
2024-04-10,22,비슬로,비슬로_구간,46.6
2024-04-10,23,비슬로,비슬로_구간,47.4
2024-04-10,00,신천대로,신천대로_구간,49.2
2024-04-10,01,신천대로,신천대로_구간,47.1
2024-04-10,02,신천대로,신천대로_구간,46.5
2024-04-10,03,신천대로,신천대로_구간,46.1
2024-04-10,04,신천대로,신천대로_구간,41.4
2024-04-10,05,신천대로,신천대로_구간,41.4
2024-04-10,06,신천대로,신천대로_구간,37.2
2024-04-10,07,신천대로,신천대로_구간,26.9
